week_start,digital_catchuptv_bledina_brand-equity_spends,digital_dataretailers_bledina_brand-equity_spends,digital_directbuying_bledina_brand-equity_spends,digital_keywordtargeting_bledina_brand-equity_spends,digital_nativeads_bledina_brand-equity_spends,digital_programmatic_bledina_brand-equity_spends,digital_sea_bledina_brand-equity_spends,digital_social_bledina_brand-equity_spends,press_equity_bledina_brand-equity_spends,tv_equity_bledina_brand-equity_spends,digital_dataretailers_bledina_brand-range_spends,digital_directbuying_bledina_brand-range_spends,digital_keywordtargeting_bledina_brand-range_spends,digital_programmatic_bledina_brand-range_spends,digital_sea_bledina_brand-range_spends,digital_social_bledina_brand-range_spends,press_product_bledina_brand-range_spends,app_total_bledina_brand_visits,crm_automatic_bledina_brand_emails,crm_event_bledina_brand_emails,website_total_bledina_brand_visits,competition_digital_competition-nestle_total_spends,competition_digital_competition-others_total_spends,competition_ooh_competition-nestle_total_spends,competition_ooh_competition-others_total_spends,competition_press_competition-nestle_total_spends,competition_press_competition-others_total_spends,competition_tv_competition-nestle_total_spends,competition_tv_competition-others_total_spends,macroeconomic_total_total_total_cci,macroeconomic_total_total_total_holiday,macroeconomic_total_total_total_livebirths,macroeconomic_total_total_total_lockdownflag,macroeconomic_total_total_total_population,macroeconomic_total_total_total_unemploymentrate,macroeconomic_total_total_total_weeklycases,macroeconomic_total_total_total_weeklydeath,digital_catchuptv_bledina_product_spends,digital_dataretailers_bledina_product_spends,digital_keywordtargeting_bledina_product_spends,digital_programmatic_bledina_product_spends,digital_social_bledina_product_spends,press_product_bledina_product_spends,tv_product_bledina_product_spends,promo_total_bledina_bledina_spends,retail_total_bledina_product_volume,retail_total_bledina_product_dvm,retail_total_bledina_product_price,competition_retail_competition_nonorganic_dvm,competition_retail_competition_nonorganic_price,Sales
15-10-2018,0,0,0,0,0,0,0,0,0,2179.75,0,0,0,0,0,0,0,0,106525,63753,51077,0,27774.19355,0,225.8064516,0,77451.6129,6774.193548,299193.5484,94,0,63588,0,64798000,8.4,0,0,0,0,0,11459.64743,2305.180005,0,0,108538.5389,871109.1395,56.21349186,5.909293987,46.68203073,4.719649071,5147640
22-10-2018,0,0,0,0,0,0,0,0,0,1622.7,0,0,0,0,0,0,0,0,18333,0,54615,0,27774.19355,0,225.8064516,0,77451.6129,6774.193548,299193.5484,94,0,63588,0,64798000,8.4,0,0,0,0,0,19672.45924,2333.47,0,0,16653.72484,813214.2833,57.18862364,6.142710602,47.87210571,4.829447813,4995340
29-10-2018,0,0,0,0,0,0,0,0,0,1622.7,0,0,0,0,0,0,0,0,66616,0,45468,0,19503.22581,0,96.77419355,8000,61460.21505,6903.225806,147959.1398,92.28571429,1,61501.71429,0,64804285.71,8.4,0,0,0,0,0,22217.91383,2337.729999,0,0,38741.29279,897215.2836,61.12475787,6.042922584,52.00438411,4.785111592,5421802.5
05-11-2018,0,0,0,0,0,17561.54278,0,4491.790004,0,2155.5,0,0,0,0,0,0,0,0,32406,16466,55794,0,13300,0,0,14000,49466.66667,7000,34533.33333,91,1,59937,0,64809000,8.4,0,0,0,0,0,20242.74906,2470.189997,0,0,17819.56087,930903.5004,60.60849315,6.017167727,50.97766723,4.748588772,5601402.5
12-11-2018,0,0,0,0,0,39897.12347,0,5966.399998,0,2155.5,0,0,0,0,0,0,0,0,104064,3167,55789,0,13300,0,0,14000,49466.66667,7000,34533.33333,91,0,59937,0,64809000,8.4,0,0,0,0,0,16743.84488,2843.48,0,0,3946.843356,774217.8801,58.69858249,6.152147377,47.17565383,4.832526914,4763102.5
19-11-2018,0,0,0,0,0,67066.04256,0,43210.23001,0,2155.5,0,0,0,0,0,0,0,0,76828,55820,46613,0,13300,0,0,14000,49466.66667,7000,34533.33333,91,0,59937,0,64809000,8.4,0,0,0,0,0,16925.02243,10272.15,0,0,1747.486213,823991.4925,58.97348814,6.064507396,48.23700747,4.803737818,4997102.5
26-11-2018,0,0,0,0,0,22260.45878,0,17231.57,0,2155.5,0,0,0,0,0,0,0,0,95667,58909,51721,387.0967742,9629.032258,0,0,16129.03226,42752.68817,6354.83871,27311.82796,90.14285714,0,59935.28571,0,64811285.71,8.4,0,0,0,0,0,10559.50149,13608.58,0,0,1731.567661,989009.0787,61.23984589,5.850227389,49.46916881,4.737801842,5785928
03-12-2018,0,0,0,0,0,17650.31219,0,0,0,2155.5,0,0,0,0,0,0,0,0,74039,0,47156,1354.83871,451.6129032,0,0,21451.6129,25967.74194,4741.935484,9258.064516,88,0,59931,0,64817000,8.4,0,0,0,0,0,0,0,0,0,2058.669471,952571.0762,63.2432018,6.008085006,51.14562569,4.772125537,5723128
10-12-2018,0,0,0,0,0,9452.199312,0,0,0,2155.5,0,0,0,0,0,0,0,0,106697,59127,45314,1354.83871,451.6129032,0,0,21451.6129,25967.74194,4741.935484,9258.064516,88,0,59931,0,64817000,8.4,0,0,0,0,0,0,0,0,0,635.515625,827325.6788,59.53759252,6.05194318,49.08531133,4.790273521,5006928
17-12-2018,0,0,0,0,0,0.008472,0,1.044,0,2155.5,0,0,0,0,0,0,0,0,134011,64453,53177,1354.83871,451.6129032,0,0,21451.6129,25967.74194,4741.935484,9258.064516,88,0,59931,0,64817000,8.4,0,0,0,0.46,0,0,0,0,0,621.4611306,854847.9965,60.95300331,6.102521175,51.26017515,4.825251631,5216728
